"2019","POINT (-87.6991553432 41.9227606205)",829246,769009
"2024","POINT (-87.7509342894 41.785998518)",827365,888496
"2023","POINT (-87.642648998 41.8792550844)",816087,972892
"2019","POINT (-87.6357600901 41.9074919303)",815563,741484
"2023","POINT (-87.6428084655 41.8853000224)",814490,803289
"2021","POINT (-87.6318639497 41.8920421365)",813871,851642
"2021","POINT (-87.6991553432 41.9227606205)",787242,740748
"2021","POINT (-87.6572331997 41.8852813201)",783402,822339
"2019","POINT (-87.7560467111 41.8906088526)",778904,751015
"2019","POINT (-87.6317173661 41.9146162864)",769177,740522
"2022","POINT (-87.7560467111 41.8906088526)",762124,737368
"2019","POINT (-87.6429586652 41.8679024175)",755016,760582
"2020","POINT (-87.7560467111 41.8906088526)",752102,726599
"2020","POINT (-87.6209929134 41.8849871918)",748061,838156
"2023","POINT (-87.7509342894 41.785998518)",745271,808250
"2021","POINT (-87.913624596 41.9802643146)",744271,998026
"2020","POINT (-87.6572331997 41.8852813201)",740762,748425
"2021","POINT (-87.7560467111 41.8906088526)",737870,719581
"2019","POINT (-87.6251921424 41.8788655841)",737482,828595
"2019","POINT (-87.6314065252 41.8710158803)",729997,610519
"2019","POINT (-87.6129454143 41.8919715078)",725089,637200
"2020","POINT (-87.6318639497 41.8920421365)",713446,711258
"2019","POINT (-87.6753116216 41.906025969)",694874,642069
"2020","POINT (-87.6991553432 41.9227606205)",692890,659060
"2024","POINT (-87.6219716519 41.8774061234)",689936,728578
"2024","POINT (-87.6288741572 41.8920726347)",683276,611696
"2024","POINT (-87.6251921424 41.8788655841)",683084,829729
"2024","POINT (-87.6262105324 41.8991556134)",672821,679357
"2024","POINT (-87.6197106717 41.8950334495)",664480,774861
"2022","POINT (-87.6428084655 41.8853000224)",660637,634902
"2021","POINT (-87.6262149064 41.8925077809)",660443,651791
"2023","POINT (-87.6251921424 41.8788655841)",659005,809386
"2020","POINT (-87.6378442095 41.8932163595)",655409,618468
"2018","POINT (-87.6327464887 41.8809944707)",651012,759643
"2021","POINT (-87.6378442095 41.8932163595)",649433,627426
"2021","POINT (-87.6494887289 41.9226862843)",641140,622912
"2023","POINT (-87.6219716519 41.8774061234)",640841,674921
"2022","POINT (-87.6251921424 41.8788655841)",635651,797075
"2023","POINT (-87.6262105324 41.8991556134)",630834,636473
"2022","POINT (-87.642648998 41.8792550844)",629903,748320
"2024","POINT (-87.6221729369 41.8706073724)",625775,582202
"2023","POINT (-87.6288741572 41.8920726347)",622367,558600
"2022","POINT (-87.6494887289 41.9226862843)",616182,593478
"2021","POINT (-87.6251921424 41.8788655841)",603684,714145
"2023","POINT (-87.6197106717 41.8950334495)",602382,699427
"2019","POINT (-87.6321092196 41.9002656868)",600521,492096
"2023","POINT (-87.6494887289 41.9226862843)",587089,564190
"2024","POINT (-87.6494887289 41.9226862843)",583027,561827
"2022","POINT (-87.7509342894 41.785998518)",577235,646311
"2019","POINT (-87.913624596 41.9802643146)",576885,814949
"2023","POINT (-87.6221729369 41.8706073724)",576607,550598
"2020","POINT (-87.6262149064 41.8925077809)",569936,556333
"2023","POINT (-87.6357600901 41.9074919303)",557128,501723
"2019","POINT (-87.6536139825 41.8983058696)",556938,519565
"2021","POINT (-87.6188683546 41.8909220259)",555293,557516
"2024","POINT (-87.5727819867 41.7615779081)",555108,539407
"2019","POINT (-87.6525344838 41.8926581076)",553639,473162
"2021","POINT (-87.6173580061 41.859349715)",549008,560558
"2024","POINT (-87.657005027 41.8790669938)",544853,489610
"2020","POINT (-87.6494887289 41.9226862843)",543946,542148
"2022","POINT (-87.6262105324 41.8991556134)",540576,563630
"2023","POINT (-87.657005027 41.8790669938)",540274,482644
"2024","POINT (-87.7655016086 41.9272609555)",539047,502347
"2022","POINT (-87.6288741572 41.8920726347)",535570,493355
"2022","POINT (-87.6219716519 41.8774061234)",535319,560607
"2023","POINT (-87.5727819867 41.7615779081)",531504,515075
"2024","POINT (-87.6207628651 41.8983317935)",528751,552177
"2020","POINT (-87.6251921424 41.8788655841)",525695,599610
